State,Brand,Registered Users,TotalUsersByState,BrandUsageRatio
Lakshadweep,Motorola,405,34223,0.011834146626537709
Lakshadweep,OnePlus,945,34223,0.02761300879525465
Lakshadweep,Oppo,5175,34223,0.1512140957835374
Lakshadweep,Others,2195,34223,0.06413815270432166
Lakshadweep,Realme,2007,34223,0.05864477106039798
Lakshadweep,Samsung,5360,34223,0.1566198170820793
Lakshadweep,Vivo,6947,34223,0.20299213978903077
Lakshadweep,Xiaomi,6979,34223,0.20392718347310287
Madhya Pradesh,Apple,1994589,125339823,0.015913449949582263
Madhya Pradesh,Huawei,1192309,125339823,0.009512611167481862
Madhya Pradesh,Lenovo,470438,125339823,0.003753300337754586
Madhya Pradesh,Micromax,1607048,125339823,0.012821527600210509
Madhya Pradesh,Motorola,2151763,125339823,0.017167432891619767
Madhya Pradesh,OnePlus,1357665,125339823,0.010831872644339062
Madhya Pradesh,Oppo,14865141,125339823,0.11859870745150167
Madhya Pradesh,Others,13200776,125339823,0.10531988704021067
Madhya Pradesh,Realme,7820527,125339823,0.062394591063049454
Madhya Pradesh,Samsung,22894840,125339823,0.1826621376352191
Madhya Pradesh,Tecno,582866,125339823,0.004650285807408552
Madhya Pradesh,Vivo,24412634,125339823,0.19477156912851235
Madhya Pradesh,Xiaomi,32789227,125339823,0.2616026272831102
Maharashtra,Apple,9822628,315783658,0.031105561517056086
Maharashtra,Huawei,3917442,315783658,0.012405461463113459
Maharashtra,Lenovo,4757576,315783658,0.015065934792610453
Maharashtra,Motorola,8552205,315783658,0.02708248126000238
Maharashtra,OnePlus,8699700,315783658,0.02754955736183156
Maharashtra,Oppo,40490712,315783658,0.12822294939657708
Maharashtra,Others,23778280,315783658,0.07529927340318542
Maharashtra,Realme,13079649,315783658,0.041419651298104855
Maharashtra,Samsung,69415065,315783658,0.21981842074930932
Maharashtra,Vivo,52988543,315783658,0.167800143096702
Maharashtra,Xiaomi,80281858,315783658,0.2542305656615074
Manipur,Apple,56542,2317734,0.024395379279934626
Manipur,Gionee,3783,2317734,0.0016321976551234955
Manipur,HMD Global,2192,2317734,0.0009457513243538732
Manipur,Huawei,27120,2317734,0.0117010839035023
Manipur,Lenovo,14382,2317734,0.006205198698383853
Manipur,Lyf,1271,2317734,0.0005483804440026336
Manipur,Micromax,817,2317734,0.00035249946715196825
Manipur,Motorola,21911,2317734,0.00945363014047341
Manipur,OnePlus,25611,2317734,0.011050016956216718
Manipur,Oppo,190425,2317734,0.082159989023762
Manipur,Others,150058,2317734,0.06474340886400251
Manipur,Realme,84275,2317734,0.03636094564777494
Manipur,Samsung,398470,2317734,0.17192223093763132
Manipur,Vivo,261137,2317734,0.11266909835209735
Manipur,Xiaomi,1079740,2317734,0.465860189305589
Meghalaya,Apple,27850,1436472,0.019387777833469778
Meghalaya,Asus,22280,1436472,0.015510222266775823
Meghalaya,Huawei,25900,1436472,0.018030285310120908
Meghalaya,Lenovo,6805,1436472,0.004737300831481574
Meghalaya,Micromax,26497,1436472,0.018445886867269255
Meghalaya,Motorola,29120,1436472,0.02027188834867648
Meghalaya,OnePlus,435,1436472,0.0003028252552085944
Meghalaya,Oppo,179777,1436472,0.12515176070261028
Meghalaya,Others,190293,1436472,0.13247247422852657
Meghalaya,Realme,98723,1436472,0.06872601763208751
Meghalaya,Samsung,271604,1436472,0.1890771278521266
Meghalaya,Vivo,209251,1436472,0.14567008615552549
Meghalaya,Xiaomi,347937,1436472,0.24221634671612116
Mizoram,Apple,20441,605612,0.033752633699464345
Mizoram,Asus,8388,605612,0.01385045210464786
Mizoram,Gionee,13205,605612,0.02180438960918872
Mizoram,Huawei,12798,605612,0.021132342159666584
Mizoram,Motorola,2714,605612,0.004481417144970707
Mizoram,OnePlus,4759,605612,0.00785816661492837
Mizoram,Oppo,72727,605612,0.12008843946289043
Mizoram,Others,53568,605612,0.08845267266830908
Mizoram,Realme,27567,605612,0.04551924334392317
Mizoram,Samsung,87699,605612,0.14481053876079072
Mizoram,Vivo,108733,605612,0.17954234724543106
Mizoram,Xiaomi,193013,605612,0.3187073571857889
Nagaland,Apple,31355,1440387,0.021768455283198197
Nagaland,Asus,24769,1440387,0.017196072999825743
Nagaland,Gionee,30784,1440387,0.021372034043628554
Nagaland,Huawei,29857,1440387,0.020728457004957696
Nagaland,Lenovo,10224,1440387,0.007098092387670813
Nagaland,Micromax,15479,1440387,0.010746417455864292
Nagaland,Motorola,700,1440387,0.00048598050385070124
Nagaland,Oppo,162562,1440387,0.112859946667111
