Density,Transactions
431.0,145386
362.0,383179
347.0,286640
497.0,102667
99.0,24370
475.0,220877
520.0,519590
425.0,215359
459.0,448258
440.0,132136
244.0,112936
491.0,191116
213.0,205941
687.0,279128
393.0,447580
44.0,90255
553.0,261762
302.0,290221
497.0,145539
0.0,172987
383.0,306847
436.0,461735
2010.0,2543890
93.0,183647
673.0,219675
283.0,172597
457.0,272571
300.0,40396
738.0,521404
763.0,198498
431.0,220014
362.0,510820
347.0,420620
497.0,166432
99.0,42806
475.0,208297
520.0,553783
425.0,227984
459.0,487493
440.0,130863
244.0,102868
491.0,188334
213.0,206214
687.0,265528
393.0,526945
44.0,93676
553.0,277508
302.0,278714
497.0,161126
0.0,175557
383.0,315288
436.0,445726
2010.0,4268591
93.0,186352
673.0,249302
283.0,169456
457.0,258450
300.0,39125
738.0,535675
763.0,175078
431.0,213330
362.0,540972
347.0,442335
497.0,154549
99.0,40408
475.0,253333
520.0,724763
425.0,301859
459.0,623731
440.0,152117
244.0,121011
491.0,239602
213.0,250452
687.0,337623
393.0,631601
44.0,110429
553.0,381733
302.0,337771
497.0,189140
0.0,224628
383.0,400452
436.0,557203
2010.0,5300547
93.0,229991
673.0,309172
283.0,209653
457.0,304251
300.0,43480
738.0,667880
763.0,210966
431.0,259736
362.0,676306
347.0,543941
497.0,181878
99.0,44259
475.0,260583
520.0,768249
425.0,321020
459.0,614703
440.0,138143
244.0,127192
491.0,259665
213.0,231336
687.0,362613
393.0,680608
44.0,104846
553.0,400249
302.0,311238
497.0,189886
0.0,220269
383.0,388882
436.0,557802
2010.0,9400818
93.0,217934
673.0,304173
283.0,228889
457.0,278213
300.0,34915
738.0,675634
763.0,197323
431.0,242611
362.0,669242
347.0,480161
497.0,173233
99.0,41137
475.0,333425
520.0,1094358
425.0,445957
459.0,743120
440.0,169721
244.0,173228
491.0,373027
213.0,299375
687.0,528440
393.0,870918
44.0,127333
553.0,544911
302.0,382567
497.0,258553
0.0,285880
383.0,448050
436.0,737877
2010.0,12113618
93.0,275847
673.0,376322
283.0,291109
457.0,361975
300.0,44407
738.0,928187
763.0,265787
431.0,303100
362.0,848080
347.0,606143
497.0,229956
99.0,51169
992.0,81597
1098.0,31620
760.0,114354
672.0,39192
1540.0,134911
1180.0,174456
1136.0,115890
1003.0,61490
1721.0,217364
880.0,231873
1258.0,107134
567.0,48226
1206.0,52401
1004.0,138075
1115.0,65892
898.0,38179
815.0,42937
1116.0,79822
1279.0,173946
958.0,64639
1506.0,388401
1220.0,208901
889.0,78480
1803.0,1197281
1014.0,132262
763.0,201231
1125.0,88087
1465.0,222241
1493.0,149786
922.0,20728
1882.0,25700
1491.0,145625
1495.0,129094
919.0,85807
1717.0,201678
992.0,144230
1098.0,41799
760.0,166360
672.0,62184
1540.0,200949
1180.0,265147
1136.0,179667
1003.0,95499
1721.0,322140
880.0,324390
1258.0,176783
567.0,73817
1206.0,76302
1004.0,218980
1115.0,107663
898.0,68492
815.0,63428
1116.0,128793
1279.0,286112
958.0,104641
1506.0,554675
1220.0,306468
889.0,117582
1803.0,1650942
1014.0,200492
763.0,281535
1125.0,137218
1465.0,316985
1493.0,261588
922.0,30292
1882.0,31877
1491.0,207834
1495.0,216997
919.0,120248
1717.0,316405
992.0,167608
1098.0,78393
760.0,269704
672.0,86362
1540.0,226986
1180.0,422204
1136.0,252114
1003.0,141186
1721.0,413648
880.0,919453
1258.0,218210
567.0,104140
1206.0,158009
1004.0,252857
1115.0,145602
898.0,94729
815.0,129690
1116.0,149943
1279.0,353968
958.0,136515
1506.0,959708
1220.0,896006
889.0,209878
1803.0,3360157
1014.0,254555
763.0,701262
1125.0,185665
1465.0,400049
1493.0,366520
922.0,37393
1882.0,43723
1491.0,266426
1495.0,272311
919.0,165526
1717.0,427385
992.0,224141
1098.0,94144
760.0,345707
672.0,120661
1540.0,326254
1180.0,460720
1136.0,307475
1003.0,166308
1721.0,515957
880.0,724866
1258.0,288486
567.0,156998
1206.0,176508
1004.0,364308
1115.0,175089
898.0,130169
815.0,115486
1116.0,206209
1279.0,480479
958.0,173044
1506.0,886640
1220.0,666931
889.0,225093
1803.0,3256138
1014.0,323276
763.0,534230
1125.0,226972
1465.0,529944
1493.0,495166
922.0,52160
1882.0,57310
1491.0,338316
1495.0,366863
919.0,207479
1717.0,522642
992.0,303436
1098.0,166197
760.0,568106
672.0,183133
1540.0,456148
1180.0,669334
1136.0,469391
1003.0,269395
1721.0,763583
880.0,1025084
1258.0,436537
567.0,254802
1206.0,281786
1004.0,545240
1115.0,227052
898.0,172840
815.0,172050
1116.0,264883
1279.0,725008
958.0,244480
1506.0,1262299
1220.0,946010
889.0,358636
1803.0,7894598
1014.0,432736
763.0,879724
1125.0,325350
1465.0,792952
1493.0,688941
922.0,84957
1882.0,93729
1491.0,511026
1495.0,551354
919.0,291495
1717.0,749004
992.0,275976
1098.0,127961
760.0,466316
672.0,149782
1540.0,420369
1180.0,615040
1136.0,425496
1003.0,231824
1721.0,727675
880.0,919937
1258.0,419736
567.0,273377
1206.0,209202
1004.0,500894
1115.0,211775
898.0,172899
815.0,140776
1116.0,249723
1279.0,689839
958.0,225552
1506.0,1260648
1220.0,710450
889.0,348121
1803.0,13421445
1014.0,430976
763.0,659316
1125.0,309217
1465.0,659872
1493.0,660816
922.0,75522
1882.0,77989
1491.0,464001
1495.0,533899
919.0,261835
1717.0,706255
992.0,337253
1098.0,129870
760.0,489823
672.0,168148
1540.0,486249
1180.0,666207
1136.0,450855
1003.0,233814
1721.0,802970
880.0,1275920
1258.0,492551
567.0,293099
1206.0,215894
1004.0,605697
1115.0,267467
898.0,212575
815.0,166181
1116.0,285255
1279.0,732727
958.0,284046
1506.0,1526447
1220.0,734808
889.0,372689
1803.0,13404838
1014.0,538629
763.0,637472
1125.0,364988
1465.0,725863
1493.0,768342
922.0,74944
1882.0,83755
1491.0,515053
1495.0,609065
919.0,303444
1717.0,835929
992.0,462746
1098.0,207671
760.0,751614
672.0,241765
1540.0,687513
1180.0,914156
1136.0,665945
1003.0,361937
1721.0,1059279
880.0,1627240
1258.0,650123
567.0,407483
1206.0,343084
1004.0,772131
1115.0,344043
898.0,279243
815.0,254456
1116.0,395526
1279.0,1038907
958.0,353666
1506.0,1900732
1220.0,1426896
889.0,547595
1803.0,17235243
1014.0,735598
763.0,1129246
1125.0,495346
1465.0,995634
1493.0,1039542
922.0,124377
1882.0,120327
1491.0,686989
1495.0,865806
919.0,418643
1717.0,1092261
992.0,573320
1098.0,188963
760.0,790573
672.0,274099
1540.0,805744
1180.0,1141739
1136.0,720700
1003.0,388504
1721.0,1296525
880.0,1524983
