State,Period,Transaction Type,Transactions
Karnataka,2018-Q4,Peer-to-peer payments,20471744
Karnataka,2019-Q1,Peer-to-peer payments,44049036
Karnataka,2019-Q2,Peer-to-peer payments,50033334
Karnataka,2019-Q3,Merchant payments,76924325
Karnataka,2019-Q4,Merchant payments,114044901
Karnataka,2020-Q1,Merchant payments,132970737
Karnataka,2020-Q2,Merchant payments,87251639
Karnataka,2020-Q3,Merchant payments,137206600
Karnataka,2020-Q4,Merchant payments,215711211
Karnataka,2021-Q1,Merchant payments,279599017
Karnataka,2021-Q2,Merchant payments,244460862
Kerala,2018-Q1,Recharge & bill payments,988774
Kerala,2018-Q2,Recharge & bill payments,1230869
Kerala,2018-Q3,Peer-to-peer payments,1425259
Kerala,2018-Q4,Peer-to-peer payments,2073960
Kerala,2019-Q1,Peer-to-peer payments,3601116
Kerala,2019-Q2,Peer-to-peer payments,3519528
Kerala,2019-Q3,Peer-to-peer payments,4181954
Kerala,2019-Q4,Peer-to-peer payments,5859068
Kerala,2020-Q1,Peer-to-peer payments,6634439
Kerala,2020-Q2,Recharge & bill payments,7709714
Kerala,2020-Q3,Peer-to-peer payments,8590587
Kerala,2020-Q4,Peer-to-peer payments,12941135
Kerala,2021-Q1,Peer-to-peer payments,16209203
Kerala,2021-Q2,Peer-to-peer payments,17026648
Ladakh,2018-Q1,Recharge & bill payments,3550
Ladakh,2018-Q2,Recharge & bill payments,8075
Ladakh,2018-Q3,Recharge & bill payments,13136
Ladakh,2018-Q4,Recharge & bill payments,16650
Ladakh,2019-Q1,Peer-to-peer payments,22076
Ladakh,2019-Q2,Peer-to-peer payments,34202
Ladakh,2019-Q3,Peer-to-peer payments,43198
Ladakh,2019-Q4,Peer-to-peer payments,42095
Ladakh,2020-Q1,Peer-to-peer payments,51560
Ladakh,2020-Q2,Recharge & bill payments,70601
Ladakh,2020-Q3,Peer-to-peer payments,108345
Ladakh,2020-Q4,Peer-to-peer payments,151582
Ladakh,2021-Q1,Peer-to-peer payments,141894
Ladakh,2021-Q2,Peer-to-peer payments,209818
Lakshadweep,2018-Q1,Peer-to-peer payments,423
Lakshadweep,2018-Q2,Peer-to-peer payments,1315
Lakshadweep,2018-Q3,Peer-to-peer payments,841
Lakshadweep,2018-Q4,Recharge & bill payments,792
Lakshadweep,2019-Q1,Peer-to-peer payments,1183
Lakshadweep,2019-Q2,Recharge & bill payments,1448
Lakshadweep,2019-Q3,Recharge & bill payments,1528
Lakshadweep,2019-Q4,Recharge & bill payments,1801
Lakshadweep,2020-Q1,Recharge & bill payments,2684
Lakshadweep,2020-Q2,Recharge & bill payments,4497
Lakshadweep,2020-Q3,Recharge & bill payments,4696
Lakshadweep,2020-Q4,Recharge & bill payments,5187
Lakshadweep,2021-Q1,Peer-to-peer payments,3942
Lakshadweep,2021-Q2,Recharge & bill payments,5499
Madhya Pradesh,2018-Q1,Recharge & bill payments,4404190
Madhya Pradesh,2018-Q2,Recharge & bill payments,5324535
Madhya Pradesh,2018-Q3,Peer-to-peer payments,9988509
Madhya Pradesh,2018-Q4,Peer-to-peer payments,11456555
Madhya Pradesh,2019-Q1,Peer-to-peer payments,23708825
Madhya Pradesh,2019-Q2,Peer-to-peer payments,20868744
